curso,modulo_num,modulo,video_num,video_titulo,youtube_url,youtube_id,duracion_seg
Curso de Auriculoterapia Online,1,MÓDULO I · INTRODUCCIÓN Y FUNDAMENTOS DE LA AURICULOTERAPIA,1,Presentación del Curso,https://youtu.be/9vSB2e9A5q0,9vSB2e9A5q0,5064
Curso de Auriculoterapia Online,1,MÓDULO I · INTRODUCCIÓN Y FUNDAMENTOS DE LA AURICULOTERAPIA,2,Clase 1,https://youtu.be/5fg18BLWt0U,5fg18BLWt0U,2879
Curso de Auriculoterapia Online,1,MÓDULO I · INTRODUCCIÓN Y FUNDAMENTOS DE LA AURICULOTERAPIA,3,Clase 2,https://youtu.be/3m1IQaVbLRw,3m1IQaVbLRw,1695
Curso de Auriculoterapia Online,1,MÓDULO I · INTRODUCCIÓN Y FUNDAMENTOS DE LA AURICULOTERAPIA,4,Clase 3,https://youtu.be/cYzeuBDbIFc,cYzeuBDbIFc,410
Curso de Auriculoterapia Online,1,MÓDULO I · INTRODUCCIÓN Y FUNDAMENTOS DE LA AURICULOTERAPIA,5,Clase 4,https://youtu.be/obaNtWmOy7g,obaNtWmOy7g,640
Curso de Auriculoterapia Online,1,MÓDULO I · INTRODUCCIÓN Y FUNDAMENTOS DE LA AURICULOTERAPIA,6,Clase 5,https://youtu.be/W_hdH2EqtQI,W_hdH2EqtQI,474
Curso de Auriculoterapia Online,2,MÓDULO II · LOCALIZACIÓN DE PUNTOS Y TÉCNICAS DE APLICACIÓN,1,Clase 6,https://youtu.be/8CiXAwcPLAY,8CiXAwcPLAY,2627
Curso de Auriculoterapia Online,2,MÓDULO II · LOCALIZACIÓN DE PUNTOS Y TÉCNICAS DE APLICACIÓN,2,Clase 7,https://youtu.be/FMmg_JfFGuY,FMmg_JfFGuY,1318
Curso de Auriculoterapia Online,2,MÓDULO II · LOCALIZACIÓN DE PUNTOS Y TÉCNICAS DE APLICACIÓN,3,Clase 8,https://youtu.be/6mbEUrLPTBg,6mbEUrLPTBg,0
Curso de Auriculoterapia Online,2,MÓDULO II · LOCALIZACIÓN DE PUNTOS Y TÉCNICAS DE APLICACIÓN,4,Clase 9,https://youtu.be/vX9xJiHjzT8,vX9xJiHjzT8,0
Curso de Auriculoterapia Online,2,MÓDULO II · LOCALIZACIÓN DE PUNTOS Y TÉCNICAS DE APLICACIÓN,5,Clase 10,https://youtu.be/wqRiNEMhbPg,wqRiNEMhbPg,0
Curso de Auriculoterapia Online,3,MÓDULO III · PROTOCOLOS CLÍNICOS DE AURICULOTERAPIA,1,Auriculoterapia I,https://youtu.be/aUPMVQmhxCM,aUPMVQmhxCM,0
Curso de Auriculoterapia Online,3,MÓDULO III · PROTOCOLOS CLÍNICOS DE AURICULOTERAPIA,2,Auriculoterapia II,https://youtu.be/KaYa1rlpCJ4,KaYa1rlpCJ4,0
Curso de Auriculoterapia Online,3,MÓDULO III · PROTOCOLOS CLÍNICOS DE AURICULOTERAPIA,3,Auriculoterapia III,https://youtu.be/2ZvOx8PXWSo,2ZvOx8PXWSo,0
Curso de Auriculoterapia Online,4,MÓDULO IV · PRÁCTICA CLÍNICA Y APLICACIONES AVANZADAS,1,Auriculoterapia en Vivo,https://youtu.be/V0TLDL5ht4s,V0TLDL5ht4s,0
Curso de Auriculoterapia Online,4,MÓDULO IV · PRÁCTICA CLÍNICA Y APLICACIONES AVANZADAS,2,Auriculoterapia y Moxibustión,https://youtu.be/QKJDQJmDbAc,QKJDQJmDbAc,0
Curso de Auriculoterapia Online,4,MÓDULO IV · PRÁCTICA CLÍNICA Y APLICACIONES AVANZADAS,3,Clase de Cierre y Evaluación Final,https://youtu.be/iqkafhRFi_s,iqkafhRFi_s,1828
Curso de Auriculoterapia Online,4,MÓDULO IV · PRÁCTICA CLÍNICA Y APLICACIONES AVANZADAS,4,📚​ Acupuntura Auricular ,https://www.youtube.com/watch?v=XogWrnrA7es,XogWrnrA7es,6639
Curso de Auriculoterapia Online,4,MÓDULO IV · PRÁCTICA CLÍNICA Y APLICACIONES AVANZADAS,5,📚​ 👂🏼AURICULOTERAPIA Y TINNITUS,https://www.youtube.com/watch?v=6tTWhfQD2M4,6tTWhfQD2M4,0
Curso de Digitopresión Mecánica,1,📦 MÓDULO 1 – Fundamentos de la Digitopresión Mecánica,1,🎬 Master Class  ¿Qué es la Digitopresión Mecánica?,https://youtu.be/GXnk8_8XqdI,GXnk8_8XqdI,847
Curso de Digitopresión Mecánica,1,📦 MÓDULO 1 – Fundamentos de la Digitopresión Mecánica,2,📹 Video 1,https://youtu.be/b2lOENvdmYM,b2lOENvdmYM,7508
